Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.106-149.154.166.120-60758-443-6,192.168.1.106,60758,149.154.166.120,443,6,14/05/2026 11:25:45 PM,1065883,5,4,169.0,185.0,169.0,0.0,33.8,75.57909763949289,185.0,0.0,46.25,92.5,332.1190036805166,8.443703483402963,133235.375,204200.16715044054,558902.0,2.0,1065883.0,266470.75,300541.85349173914,666661.0,8621.0,740621.0,246873.66666666666,291524.7969938978,568495.0,2.0,0,0,0,0,112,92,4.690946379668313,3.7527571037346505,0.0,185.0,35.4,74.72497723132622,5583.822222222222,1,2,1,2,8,0,0,0,0.0,39.333333333333336,33.8,46.25,0,0,0,0,0,0,0,0,0,0,65535,3072,1,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.1.106-149.154.166.120-60759-80-6,192.168.1.106,60759,149.154.166.120,80,6,14/05/2026 11:25:45 PM,1474840,6,4,513.0,255.0,288.0,0.0,85.5,133.94588459523496,255.0,0.0,63.75,127.5,520.7344525507852,6.780396517588349,163871.11111111112,226796.99890455147,564558.0,198.0,1474840.0,294968.0,238440.2725086515,565688.0,2598.0,1155064.0,385021.3333333334,327073.2953105975,579174.0,7400.0,0,0,0,0,132,92,4.06823791055301,2.7121586070353394,0.0,288.0,69.81818181818181,120.40499838612863,14497.363636363638,1,2,1,3,9,0,0,0,0.0,76.8,85.5,63.75,0,0,0,0,0,0,0,0,0,0,65535,133,2,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.1.106-149.154.166.120-60761-80-6,192.168.1.106,60761,149.154.166.120,80,6,14/05/2026 11:25:46 PM,2421999,6,6,457.0,347.0,232.0,0.0,76.16666666666667,118.01765404661569,347.0,0.0,57.833333333333336,141.66215679096047,331.9571973398833,4.954585034923631,220181.72727272726,263133.0438162759,664106.0,181.0,2262922.0,452584.4,274521.497581337,664287.0,962.0,1757893.0,351578.6,282367.7420090687,568364.0,37835.0,0,0,0,0,132,132,2.4772925174618154,2.4772925174618154,0.0,347.0,61.84615384615383,120.8075923068346,14594.47435897436,2,2,0,3,11,0,0,0,1.0,67.0,76.16666666666667,57.833333333333336,0,0,0,0,0,0,0,0,0,0,65535,133,2,20,0,0,0,0,0,0,0,0,NeedManualLabel
4.208.165.242-192.168.1.106-443-54131-6,4.208.165.242,443,192.168.1.106,54131,6,14/05/2026 11:25:45 PM,12669097,2,4,0.0,24.0,0.0,0.0,0.0,0.0,24.0,0.0,6.0,12.0,1.894373371677555,0.47359334291938876,2533819.3999999994,5665311.108537182,1.2668236E7,75.0,1.2668311E7,1.2668311E7,0.0,1.2668311E7,1.2668311E7,1.2669022E7,4223007.333333334,7313967.896168353,1.266845E7,190.0,0,0,0,0,40,80,0.15786444763979626,0.3157288952795925,0.0,24.0,3.428571428571429,9.071147352221454,82.28571428571429,2,0,0,1,6,0,0,0,2.0,4.0,0.0,6.0,0,0,0,0,0,0,2,0,4,24,65535,255,0,20,75.0,0.0,75.0,75.0,1.2668236E7,0.0,1.2668236E7,1.2668236E7,NeedManualLabel
4.208.165.242-192.168.1.106-443-54131-6,4.208.165.242,443,192.168.1.106,54131,6,14/05/2026 11:25:58 PM,163854,1,2,0.0,24.0,0.0,0.0,0.0,0.0,24.0,0.0,12.0,16.97056274847714,146.47185909407156,18.308982386758945,81927.0,115733.5810903646,163763.0,91.0,0,0,0,0,0,163763.0,163763.0,0.0,163763.0,163763.0,0,0,0,0,20,40,6.102994128919648,12.205988257839296,0.0,24.0,6.0,12.0,144.0,2,0,0,1,3,0,0,0,2.0,8.0,0.0,12.0,0,0,0,0,0,0,0,0,0,0,384,255,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
4.208.165.242-192.168.1.106-443-54131-6,4.208.165.242,443,192.168.1.106,54131,6,14/05/2026 11:25:58 PM,78635,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.15095059451898,39317.5,55452.02088743024,78528.0,107.0,78635.0,78635.0,0.0,78635.0,78635.0,0,0,0,0,0,0,0,0,0,40,20,25.433967063012656,12.716983531506328,0.0,0.0,0.0,0.0,0.0,1,0,1,0,3,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,384,255,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.1.106-149.154.166.120-60760-443-6,192.168.1.106,60760,149.154.166.120,443,6,14/05/2026 11:25:46 PM,28597724,404,690,4611.0,919761.0,1020.0,0.0,11.413366336633665,79.57835484823634,1420.0,0.0,1332.98695652174,286.55869411116225,32323.27160021546,38.25479258419306,26164.431838975295,323423.920520564,8178712.0,1.0,2.813239E7,69807.41935483876,538521.2096757445,8321180.0,93.0,2.7920033E7,40522.54426705371,410088.97339456296,8192715.0,1.0,0,0,0,0,11780,13812,14.126998358330894,24.12779422586217,0.0,1420.0,844.1753424657543,679.337187949221,461499.01493075513,2,2,0,52,1093,0,0,0,1.0,844.946983546618,11.413366336633663,1332.986956521739,0,0,0,923934,691,85232,134,1537,230,306587,65535,2610,11,20,6627132.5,9170700.483339345,1.3111797E7,142468.0,7439062.5,1046022.3543024786,8178712.0,6699413.0,NeedManualLabel
104.18.39.21-192.168.1.106-443-52311-6,104.18.39.21,443,192.168.1.106,52311,6,14/05/2026 11:25:15 PM,99947471,14,8,168.0,196.0,24.0,0.0,12.0,12.4529885199065,28.0,0.0,24.5,9.899494936611665,3.6419130605115564,0.22011562453641276,4759403.380952381,8656661.072401647,2.0287598E7,212.0,9.9947471E7,7688267.0,1.0025166616321655E7,2.0287598E7,3239.0,9.9944333E7,1.4277761857142856E7,9658739.801319536,2.0290912E7,50551.0,1,0,0,0,292,172,0.14007357925044447,0.08004204528596827,0.0,28.0,16.8695652173913,12.70398773408673,161.3913043478261,0,0,0,14,22,0,0,0,0.0,17.636363636363637,12.0,24.5,0,0,0,104,4,357,2,33,1,39,16,252,6,20,122175.4,263915.6906481689,594281.0,3540.0,1.9866671E7,475113.131065118,2.0287598E7,1.9049367E7,NeedManualLabel
192.168.1.106-23.48.214.98-63912-443-6,192.168.1.106,63912,23.48.214.98,443,6,14/05/2026 11:25:19 PM,119970083,8,8,1059.0,321.0,982.0,0.0,132.375,343.69585287825964,169.0,0.0,40.125,58.796106528044376,11.502867760789997,0.13336658273379706,7998005.533333333,1.684005124635684E7,4.5012731E7,4.0,1.19970083E8,1.7138583285714287E7,2.1936449544056594E7,4.5153565E7,356.0,7.4957998E7,1.070828542857143E7,1.8716821083577875E7,4.5016887E7,4.0,0,0,0,0,172,184,0.06668329136689853,0.06668329136689853,0.0,982.0,81.23529411764707,236.11001922085092,55747.94117647059,0,0,0,7,16,0,0,0,1.0,86.3125,132.375,40.125,0,0,0,1377,7,8173,2,353,2,107,254,768,5,20,107049.0,178767.84565183974,313472.0,3519.0,3.9882978666666664E7,8881384.919923037,4.5012731E7,2.9627639E7,NeedManualLabel
104.18.39.21-192.168.1.106-443-52619-6,104.18.39.21,443,192.168.1.106,52619,6,14/05/2026 11:25:22 PM,100051623,12,6,144.0,168.0,24.0,0.0,12.0,12.533591228810245,28.0,28.0,28.0,0.0,3.118390193430445,0.17990712654406416,5885389.588235294,9395616.208557645,2.0177658E7,305.0,1.00051623E8,9095602.09090909,1.0446313764643922E7,2.0177658E7,2356.0,1.00046445E8,2.0009289E7,122126.40354362347,2.0180689E7,1.9857476E7,1,0,0,0,240,120,0.11993808436270943,0.059969042181354716,0.0,28.0,17.68421052631579,12.459055749752412,155.22807017543863,0,0,0,12,18,0,0,0,0.0,18.666666666666668,12.0,28.0,0,0,0,0,0,0,2,28,1,33,16,252,5,20,3203.4,566.5115179764662,3847.0,2356.0,2.0006123E7,122064.62756875978,2.0177658E7,1.9854743E7,NeedManualLabel
52.110.15.203-192.168.1.106-443-51828-6,52.110.15.203,443,192.168.1.106,51828,6,14/05/2026 11:25:26 PM,60007621,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0666581999643012,2.0002540333333336E7,3.4645247262825914E7,6.0007426E7,91.0,6.000753E7,6.000753E7,0.0,6.000753E7,6.000753E7,6.0007517E7,6.0007517E7,0.0,6.0007517E7,6.0007517E7,0,0,0,0,40,40,0.0333290999821506,0.0333290999821506,0.0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,65535,1023,0,20,104.0,0.0,104.0,104.0,6.0007426E7,0.0,6.0007426E7,6.0007426E7,NeedManualLabel
192.168.1.106-140.82.112.25-60253-443-6,192.168.1.106,60253,140.82.112.25,443,6,14/05/2026 11:25:24 PM,119947859,5,7,63.0,52.0,30.0,1.0,12.6,15.883954167649817,26.0,0.0,7.42857142857143,12.686700948330932,0.9587499181623576,0.10004346972128948,1.0904350818181818E7,1.783775213799395E7,4.5013028E7,474.0,1.19944466E8,2.99861165E7,1.754197475067984E7,4.5215985E7,1.4789525E7,1.19943908E8,1.9990651333333332E7,2.0458513506610725E7,4.5017442E7,128078.0,0,0,0,0,100,176,0.04168477905053729,0.0583586906707522,0.0,30.0,8.923076923076923,13.294494715617805,176.74358974358975,0,0,0,4,12,0,0,0,1.0,9.666666666666666,12.6,7.428571428571429,0,0,0,0,0,0,1,15,1,13,251,96,4,20,84968.5,98225.34580069783,203431.0,3951.0,2.9901148E7,1.7449311963257615E7,4.5013028E7,1.4784462E7,NeedManualLabel
192.168.1.106-160.79.104.10-60755-443-6,192.168.1.106,60755,160.79.104.10,443,6,14/05/2026 11:25:27 PM,90033817,3,3,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03332081322288047,0.06664162644576094,1.80067634E7,2.464906167633992E7,4.5010048E7,4081.0,9.0025187E7,4.50125935E7,2171.5249250238876,4.5014129E7,4.5011058E7,9.0029626E7,4.5014813E7,5465.935418572012,4.5018678E7,4.5010948E7,0,0,0,0,60,96,0.03332081322288047,0.03332081322288047,0.0,1.0,0.5714285714285714,0.5345224838248487,0.28571428571428564,0,0,0,0,6,0,0,0,1.0,0.6666666666666666,1.0,0.0,0,0,0,0,0,0,1,1,1,0,253,16,2,20,4136.0,77.78174593052023,4191.0,4081.0,4.50084575E7,2249.3066709544078,4.5010048E7,4.5006867E7,NeedManualLabel
192.168.1.106-34.149.66.154-54129-443-6,192.168.1.106,54129,34.149.66.154,443,6,14/05/2026 11:25:40 PM,95767236,143,91,141960.0,1971.0,1320.0,0.0,992.7272727272729,530.7925403306632,197.0,0.0,21.65934065934066,53.02498777415539,1502.9252802075232,2.4434243878564064,411018.18025751074,2655684.0104150167,2.8925608E7,0.0,9.5547525E7,672869.8943661968,3427384.3958889544,2.926737E7,0.0,9.5763019E7,1064033.5444444448,4219535.877320301,2.8929482E7,0.0,1,0,0,0,2872,1844,1.493203792578915,0.9502205952774914,0.0,1320.0,613.3957446808514,629.9430315978881,396828.2230587379,0,0,0,51,234,0,0,0,0.0,616.017094017094,992.7272727272727,21.65934065934066,0,0,0,15992,16,34842,17,17745,11,246,253,384,134,20,2790536.6,4831247.516378746,1.1420427E7,433014.0,1.62653864E7,8974659.612562656,2.8925608E7,5962944.0,NeedManualLabel
192.168.1.106-149.154.167.92-60756-443-6,192.168.1.106,60756,149.154.167.92,443,6,14/05/2026 11:25:42 PM,118559078,409,759,23292.0,850726.0,1240.0,0.0,56.94865525672375,184.69757953657012,1420.0,0.0,1120.8511198945998,436.93504673052865,7372.004023175687,9.851628569513673,101593.04027420735,747225.6423649527,1.1685191E7,0.0,1.18361578E8,290101.90686274524,1257237.9597019549,1.187834E7,0.0,1.18396663E8,156196.12532981535,942902.3747543811,1.1685191E7,1.0,0,0,0,0,9664,15276,3.449756922030045,6.401871647483628,0.0,1420.0,747.6629597946966,627.5785242619945,393854.80411486287,0,2,0,371,1167,0,0,0,1.0,748.3030821917808,56.94865525672372,1120.8511198945982,0,0,0,144417,123,53051,17,1012,33,36988,65535,3072,54,20,6827720.375,7837431.126999111,2.0182649E7,45165.0,7966747.75,2819119.123231974,1.1685191E7,5029414.0,NeedManualLabel
192.168.1.106-108.177.15.188-54365-5228-6,192.168.1.106,54365,108.177.15.188,5228,6,14/05/2026 11:25:47 PM,91381796,3,3,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03282929567284933,0.06565859134569867,1.82763592E7,2.440726105188068E7,4.5013195E7,68544.0,9.0755946E7,4.5377973E7,418938.14043603145,4.5674207E7,4.5081739E7,9.0718251E7,4.53591255E7,395865.9532726956,4.5639045E7,4.5079206E7,0,0,0,0,60,96,0.03282929567284933,0.03282929567284933,0.0,1.0,0.5714285714285714,0.5345224838248487,0.28571428571428564,0,0,0,0,6,0,0,0,1.0,0.6666666666666666,1.0,0.0,0,0,0,0,0,0,1,1,1,0,253,1048,2,20,366044.5,420729.24191277695,663545.0,68544.0,4.50119285E7,1791.101476745525,4.5013195E7,4.5010662E7,NeedManualLabel
192.168.1.109-224.0.0.251-5353-5353-17,192.168.1.109,5353,224.0.0.251,5353,17,14/05/2026 11:25:57 PM,114585888,7,0,406.0,0.0,58.0,58.0,58.0,0.0,0,0,0,0,3.5431937308021735,0.0610895470827961,1.9097648E7,2.723231015420019E7,5.5604045E7,1022787.0,1.14585888E8,1.9097648E7,2.723231015420019E7,5.5604045E7,1022787.0,0,0,0,0,0,0,0,0,0,56,0,0.0610895470827961,0.0,58.0,58.0,58.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,66.28571428571429,58.0,0.0,0,0,0,0,0,0,1,67,0,0,0,0,6,8,2559589.5,2173366.9381888784,4096392.0,1022787.0,5.4221343E7,1955435.9211204033,5.5604045E7,5.2838641E7,NeedManualLabel
192.168.1.104-224.0.0.251-5353-5353-17,192.168.1.104,5353,224.0.0.251,5353,17,14/05/2026 11:25:13 PM,96156135,4,0,488.0,0.0,208.0,36.0,122.0,99.30424630061563,0,0,0,0,5.0750791928148935,0.041599009777171264,3.2052045E7,5.542545382149213E7,9.6051819E7,901.0,9.6156135E7,3.2052045E7,5.542545382149213E7,9.6051819E7,901.0,0,0,0,0,0,0,0,0,0,32,0,0.041599009777171264,0.0,36.0,208.0,104.8,94.20827989088858,8875.2,0,0,0,0,0,0,0,0,0.0,131.0,122.0,0.0,0,0,0,0,0,0,4,488,0,0,0,0,3,8,103415.0,0.0,103415.0,103415.0,9.6051819E7,0.0,9.6051819E7,9.6051819E7,NeedManualLabel
192.168.1.106-20.190.181.2-60765-443-6,192.168.1.106,60765,20.190.181.2,443,6,14/05/2026 11:28:29 PM,985365,19,21,4869.0,14268.0,1320.0,0.0,256.2631578947368,461.1177051596435,1420.0,0.0,679.4285714285714,698.4904130643864,19421.229696609884,40.594094574091834,25265.76923076923,84336.64813474174,505499.0,0.0,985365.0,54742.5,119396.7936052132,505499.0,0.0,392601.0,19630.05,36562.111217510115,101414.0,1.0,0,0,0,0,404,432,19.28219492269362,21.31189965139821,0.0,1420.0,466.7560975609756,624.392295775973,389865.7390243902,0,2,1,22,39,0,0,0,1.0,478.425,256.2631578947368,679.4285714285714,0,0,0,19137,24,52531,0,0,0,0,65535,384,9,20,0,0,0,0,0,0,0,0,NeedManualLabel
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,14/05/2026 11:25:47 PM,111640861,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.03582917548441336,3.7213620333333336E7,5112844.392290297,4.2189392E7,3.1973926E7,1.11640861E8,3.7213620333333336E7,5112844.392290297,4.2189392E7,3.1973926E7,0,0,0,0,0,0,0,0,0,0,0,0.03582917548441336,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.7213620333333336E7,5112844.392290297,4.2189392E7,3.1973926E7,NeedManualLabel
192.168.1.102-224.0.0.251-5353-5353-17,192.168.1.102,5353,224.0.0.251,5353,17,14/05/2026 11:25:41 PM,96256204,4,0,406.0,0.0,110.0,93.0,101.5,9.814954576223638,0,0,0,0,4.2179099437580145,0.0415557629926898,3.2085401333333336E7,5.5573540094419144E7,9.6256198E7,1.0,9.6256204E7,3.2085401333333336E7,5.5573540094419144E7,9.6256198E7,1.0,0,0,0,0,0,0,0,0,0,32,0,0.0415557629926898,0.0,93.0,110.0,103.2,9.311283477587823,86.69999999999999,0,0,0,0,0,0,0,0,0.0,129.0,101.5,0.0,0,0,0,0,0,0,4,406,0,0,0,0,3,8,1.0,0.0,1.0,1.0,9.6256198E7,0.0,9.6256198E7,9.6256198E7,NeedManualLabel
134.221.96.0-0.0.0.36-0-0-0,134.221.96.0,0,0.0.0.36,0,0,14/05/2026 11:25:56 PM,117245201,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.051174802455240795,2.34490402E7,4.183512917110685E7,9.7586905E7,247692.0,1.17245201E8,2.34490402E7,4.183512917110685E7,9.7586905E7,247692.0,0,0,0,0,0,0,0,0,0,0,0,0.051174802455240795,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,839373.0,836763.2947984752,1431054.0,247692.0,5.6095789E7,5.867729896519532E7,9.7586905E7,1.4604673E7,NeedManualLabel
192.168.1.106-224.0.0.22-0-0-0,192.168.1.106,0,224.0.0.22,0,0,14/05/2026 11:26:35 PM,5490795,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.5463689684280691,2745397.5,1778822.5674902205,4003215.0,1487580.0,5490795.0,2745397.5,1778822.5674902205,4003215.0,1487580.0,0,0,0,0,0,0,0,0,0,0,0,0.5463689684280691,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.1.1-239.255.255.250-51304-1900-17,192.168.1.1,51304,239.255.255.250,1900,17,14/05/2026 11:26:44 PM,132987,15,0,6810.0,0.0,497.0,417.0,454.0,30.80120591331264,0,0,0,0,51208.012813282505,112.79297976493943,9499.07142857143,19683.076324850495,77357.0,4.0,132987.0,9499.07142857143,19683.076324850495,77357.0,4.0,0,0,0,0,0,0,0,0,0,120,0,112.79297976493943,0.0,417.0,497.0,451.6875,31.161340899689577,971.0291666666665,0,0,0,0,0,0,0,0,0.0,481.8,454.0,0.0,0,0,0,6810,15,51208,0,0,0,0,0,0,14,8,0,0,0,0,0,0,0,0,NeedManualLabel
52.98.163.50-192.168.1.106-443-51829-6,52.98.163.50,443,192.168.1.106,51829,6,14/05/2026 11:25:47 PM,119675336,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050135643655096984,2.39350672E7,3.2774652610134497E7,6.0114507E7,181.0,1.19675155E8,5.98375775E7,391908.98372517567,6.0114699E7,5.9560456E7,1.19674889E8,5.98374445E7,392081.51777978515,6.0114688E7,5.9560201E7,0,0,0,0,60,60,0.025067821827548492,0.025067821827548492,0.0,0.0,0.0,0.0,0.0,0,0,0,0,6,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,65535,1021,0,20,319.5,180.31222920256963,447.0,192.0,5.9837258E7,392089.2959543782,6.0114507E7,5.9560009E7,NeedManualLabel
192.168.1.110-224.0.0.251-5353-5353-17,192.168.1.110,5353,224.0.0.251,5353,17,14/05/2026 11:25:41 PM,96264041,6,0,2442.0,0.0,407.0,407.0,407.0,0.0,0,0,0,0,25.36772791410242,0.06232856981351946,1.92528082E7,4.304372601603755E7,9.6251766E7,2.0,9.6264041E7,1.92528082E7,4.304372601603755E7,9.6251766E7,2.0,0,0,0,0,0,0,0,0,0,48,0,0.06232856981351946,0.0,407.0,407.0,407.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,474.8333333333333,407.0,0.0,0,0,0,1628,4,132648,6,2442,0,0,0,0,5,8,2.0,0.0,2.0,2.0,9.6251766E7,0.0,9.6251766E7,9.6251766E7,NeedManualLabel
192.168.1.106-20.50.80.213-60762-443-6,192.168.1.106,60762,20.50.80.213,443,6,14/05/2026 11:26:56 PM,110495965,11,15,1650.0,9129.0,1008.0,0.0,150.0,330.2738257870278,1420.0,0.0,608.6000000000001,696.1083454257883,97.55107347132541,0.2353027099224845,4419838.6,1.5251754462970655E7,5.9845086E7,1.0,1.10010015E8,1.10010015E7,2.323974619104887E7,5.9845184E7,108.0,1.10411503E8,7886535.928571428,2.0014019161475603E7,5.9845122E7,1.0,0,0,0,0,232,312,0.09955114650566652,0.135751563416818,0.0,1420.0,399.2222222222221,600.478548475703,360574.4871794871,2,2,0,11,25,0,0,0,1.0,414.5769230769231,150.0,608.6,0,0,0,10779,11,59875,5,825,7,4564,65535,16385,3,20,134886.5,190619.7247519259,269675.0,98.0,5.4870121E7,7035662.975331465,5.9845086E7,4.9895156E7,NeedManualLabel
192.168.1.106-52.168.117.171-60763-443-6,192.168.1.106,60763,52.168.117.171,443,6,14/05/2026 11:26:57 PM,109994318,16,22,2654.0,12808.0,1013.0,0.0,165.87499999999997,356.8941719894008,1420.0,0.0,582.1818181818184,614.3227503181382,140.57089748945032,0.34547239067385277,2972819.405405406,1.1432859395196863E7,6.0101547E7,2.0,1.09507953E8,7300530.200000001,1.7388669338689275E7,6.0101675E7,142.0,1.09855845E8,5231230.714285715,1.4947414219673034E7,6.0101789E7,2.0,0,0,0,0,392,452,0.1454620592310959,0.20001033144275687,0.0,1420.0,396.4615384615384,552.5674927174935,305330.8340080971,2,2,0,18,37,0,0,0,1.0,406.89473684210526,165.875,582.1818181818181,0,0,0,7731,9,12520,5,884,7,4269,65535,16381,4,20,459885.3333333334,429118.3113388816,849795.0,128.0,3.6042765666666664E7,2.3820084788393814E7,6.0101547E7,1.2468778E7,NeedManualLabel
104.18.39.21-192.168.1.106-443-52311-6,104.18.39.21,443,192.168.1.106,52311,6,14/05/2026 11:27:15 PM,99949849,12,6,144.0,168.0,24.0,0.0,12.0,12.533591228810245,28.0,28.0,28.0,0.0,3.1215654963120554,0.1800903170949263,5879402.882352941,9385830.130566886,2.0067274E7,575.0,9.9949849E7,9086349.90909091,1.0435358492463827E7,2.0067274E7,2963.0,9.9945892E7,1.99891784E7,45720.519822066766,2.0070865E7,1.9966065E7,1,0,0,0,240,120,0.12006021139661752,0.06003010569830876,0.0,28.0,17.68421052631579,12.459055749752412,155.22807017543863,0,0,0,12,18,0,0,0,0.0,18.666666666666668,12.0,28.0,0,0,0,0,0,0,2,28,1,33,16,252,5,20,3504.0,322.80179677319023,3737.0,2963.0,1.99856846E7,45684.57087245119,2.0067274E7,1.9962215E7,NeedManualLabel
