Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.56.101-192.168.56.1-42606-22-6,192.168.56.101,42606,192.168.56.1,22,6,16/05/2026 11:59:58 PM,682227,20,21,2304.0,2569.0,1256.0,0.0,115.2,270.9751590867791,1000.0,0.0,122.33333333333337,234.35685040837475,7142.783853468127,60.09729899285721,17055.675000000007,25155.703535755983,113508.0,125.0,670591.0,35294.26315789473,46090.211878255184,163217.0,3479.0,681821.0,34091.05,29862.407798496162,113508.0,1819.0,0,0,0,0,648,668,29.31575560627181,30.7815433865854,0.0,1256.0,116.02380952380956,247.32209551812196,61168.21893147504,1,2,1,31,40,0,0,0,1.0,118.85365853658537,115.2,122.33333333333333,0,0,0,4873,31,7498,0,0,0,0,64240,0,16,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.56.101-192.168.56.1-42616-22-6,192.168.56.101,42616,192.168.56.1,22,6,16/05/2026 11:59:59 PM,709627,20,21,2304.0,2569.0,1256.0,0.0,115.2,270.9751590867791,1000.0,0.0,122.33333333333337,234.35685040837475,6866.987868274459,57.77683205402275,17740.675,25761.45636151081,133752.0,150.0,700036.0,36844.0,50464.99654546043,202912.0,2610.0,709198.0,35459.899999999994,30885.40309953964,133752.0,2620.0,0,0,0,0,648,668,28.183820514157436,29.59301153986531,0.0,1256.0,116.02380952380956,247.32209551812196,61168.21893147504,1,2,1,31,40,0,0,0,1.0,118.85365853658537,115.2,122.33333333333333,0,0,0,4873,31,7116,0,0,0,0,64240,0,16,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.56.101-192.168.56.1-42618-22-6,192.168.56.101,42618,192.168.56.1,22,6,17/05/2026 12:00:00 AM,709209,20,21,2304.0,2569.0,1256.0,0.0,115.2,270.9751590867791,1000.0,0.0,122.33333333333337,234.35685040837475,6871.035195548844,57.81088508465065,17730.225000000002,24025.868242255696,109975.0,133.0,691554.0,36397.57894736841,43285.534584400244,153317.0,1789.0,708919.0,35445.94999999999,26429.468187641964,109975.0,3056.0,0,0,0,0,648,668,28.20043174861007,29.610453336040575,0.0,1256.0,116.02380952380956,247.32209551812196,61168.21893147504,1,2,1,31,40,0,0,0,1.0,118.85365853658537,115.2,122.33333333333333,0,0,0,4873,31,7130,0,0,0,0,64240,0,16,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.56.101-192.168.56.1-42630-22-6,192.168.56.101,42630,192.168.56.1,22,6,17/05/2026 12:00:01 AM,853659,24,21,2304.0,2569.0,1256.0,0.0,95.99999999999999,250.161686845163,1000.0,0.0,122.33333333333337,234.35685040837475,5708.368329742907,52.71425709797472,19401.34090909091,30341.374215741824,151971.0,125.0,829554.0,36067.5652173913,51159.90563626425,200606.0,2386.0,853228.0,42661.4,39139.44305119701,151971.0,4046.0,0,0,0,0,776,668,28.114270452253184,24.599986645721536,0.0,1256.0,105.93478260869567,238.37695658337387,56823.57342995171,1,2,1,31,44,0,0,0,0.0,108.28888888888889,96.0,122.33333333333333,0,0,0,4873,31,5958,0,0,0,0,64240,0,16,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.56.101-192.168.56.1-42646-22-6,192.168.56.101,42646,192.168.56.1,22,6,17/05/2026 12:00:02 AM,899918,24,22,2304.0,2569.0,1256.0,0.0,95.99999999999999,250.161686845163,1000.0,0.0,116.77272727272728,230.1912107498753,5414.937805444496,51.11576832555855,19998.177777777782,32843.71182951775,165294.0,149.0,881972.0,38346.60869565218,57070.22391734839,214200.0,1770.0,899500.0,42833.333333333336,40711.15416729589,165294.0,2078.0,0,0,0,0,776,700,26.66909651768272,24.44667180787583,0.0,1256.0,103.68085106382979,236.2774811606213,55827.048103607754,1,2,1,31,45,0,0,0,0.0,105.93478260869566,96.0,116.77272727272727,0,0,0,4873,31,5687,0,0,0,0,64240,0,16,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.56.101-192.168.56.1-42654-22-6,192.168.56.101,42654,192.168.56.1,22,6,17/05/2026 12:00:03 AM,780943,20,21,2304.0,2569.0,1256.0,0.0,115.2,270.9751590867791,1000.0,0.0,122.33333333333337,234.35685040837475,6239.892027971311,52.500630647819364,19523.575000000004,34577.696544929146,178194.0,133.0,748023.0,39369.63157894737,59438.786884034016,222770.0,4333.0,780480.0,39024.0,42801.71974533144,178194.0,2137.0,0,0,0,0,648,668,25.610063730643592,26.89056691717577,0.0,1256.0,116.02380952380956,247.32209551812196,61168.21893147504,1,2,1,31,40,0,0,0,1.0,118.85365853658537,115.2,122.33333333333333,0,0,0,4873,31,6702,0,0,0,0,64240,0,16,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.56.101-192.168.56.1-42662-22-6,192.168.56.101,42662,192.168.56.1,22,6,17/05/2026 12:00:04 AM,871807,24,21,2304.0,2569.0,1256.0,0.0,95.99999999999999,250.161686845163,1000.0,0.0,122.33333333333337,234.35685040837475,5589.539886695105,51.61692897625277,19813.795454545452,34121.641629841426,198867.0,206.0,863145.0,37528.04347826087,56271.847091094125,246028.0,1636.0,871448.0,43572.40000000001,43248.18004007738,198867.0,2902.0,0,0,0,0,776,668,27.529028787334813,24.08790018891796,0.0,1256.0,105.93478260869567,238.37695658337387,56823.57342995171,1,2,1,31,44,0,0,0,0.0,108.28888888888889,96.0,122.33333333333333,0,0,0,4873,31,5776,0,0,0,0,64240,0,16,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.56.101-192.168.56.1-42668-22-6,192.168.56.101,42668,192.168.56.1,22,6,17/05/2026 12:00:05 AM,628745,20,21,2304.0,2569.0,1256.0,0.0,115.2,270.9751590867791,1000.0,0.0,122.33333333333337,234.35685040837475,7750.359843815855,65.20926607766265,15718.624999999998,24897.287356809855,117072.0,119.0,618005.0,32526.578947368416,47220.08786677761,170101.0,2971.0,628322.0,31416.099999999995,31495.88968822172,117072.0,1629.0,0,0,0,0,648,668,31.809398086664704,33.39986799099794,0.0,1256.0,116.02380952380956,247.32209551812196,61168.21893147504,1,2,1,31,40,0,0,0,1.0,118.85365853658537,115.2,122.33333333333333,0,0,0,4873,31,8221,0,0,0,0,64240,0,16,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.56.101-192.168.56.1-42680-22-6,192.168.56.101,42680,192.168.56.1,22,6,17/05/2026 12:00:06 AM,676940,20,21,2304.0,2569.0,1256.0,0.0,115.2,270.9751590867791,1000.0,0.0,122.33333333333337,234.35685040837475,7198.570035749107,60.56666765149053,16923.5,26294.999884447174,120986.0,117.0,659096.0,34689.26315789473,47048.57404598181,166127.0,3894.0,676545.0,33827.25000000001,31752.35791306645,120986.0,2362.0,0,0,0,0,648,668,29.544715927556357,31.021951723934176,0.0,1256.0,116.02380952380956,247.32209551812196,61168.21893147504,1,2,1,31,40,0,0,0,1.0,118.85365853658537,115.2,122.33333333333333,0,0,0,4873,31,7609,0,0,0,0,64240,0,16,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.56.101-192.168.56.1-42694-22-6,192.168.56.101,42694,192.168.56.1,22,6,17/05/2026 12:00:06 AM,644699,20,21,2304.0,2569.0,1256.0,0.0,115.2,270.9751590867791,1000.0,0.0,122.33333333333337,234.35685040837475,7558.56609053217,63.595569405257336,16117.475,22472.958148585534,107958.0,130.0,631096.0,33215.57894736843,41866.71160734821,155898.0,2287.0,644300.0,32215.0,26419.389123978825,107958.0,2254.0,0,0,0,0,648,668,31.02222897817431,32.573340427083025,0.0,1256.0,116.02380952380956,247.32209551812196,61168.21893147504,1,2,1,31,40,0,0,0,1.0,118.85365853658537,115.2,122.33333333333333,0,0,0,4873,31,7985,0,0,0,0,64240,0,16,32,0,0,0,0,0,0,0,0,NeedManualLabel
